objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,biography
coll001,https://upload.wikimedia.org/wikipedia/commons/4/4e/Saul_Bellow_%28Herzog_portrait%29.jpg,,,Saul Bellow,Jeff Lowenthal,1964,Photogaph of Saul Bellow from back cover of Herzog,,"Chicago, IL",41.79051639,-87.60036311,Wikipedia,,,image/jpeg,,Public Domain,Image taken from bookjacket prior to 1973 with no Copyright notice,"Saul Bellow was born in Quebec; however much of his career was spent in the Midwest, first in Humboldt Park where his family moved at age 10. He attended the University of Chicago and eventually became a professor at UChicago's Committee on Social Thought. Many of his books are set in Chicago such as The Dangling Man, The Adventures of Augie March, Herzog, Humboldt's Gift, and The Actual."
coll002,https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/ErnestHemingway.jpg/960px-ErnestHemingway.jpg,,,Ernest Hemingway,Lloyd Arnold,1939,Photo of Ernest Hemingway from back cover of For Whom the Bell Tolls,,"Oak Park, IL",41.888333,-87.789444,Wikipedia,,,image/jpeg,,Public Domain,Image taken from bookjacket prior to 1973 with no Copyright notice,"Ernest Hemingway was born in Oak Park, Illinois to Clarence Edmonds Hemingway, a physician, and Grace Hall Hemingway, a singer. While Ernest eventually moved to Key West, he spent his childhood in the midwest, spending summers in Michigan's Upper Peninsula."
coll003,https://tile.loc.gov/storage-services/service/pnp/cph/3a40000/3a42000/3a42800/3a42856r.jpg,,,Willa Cather,Carl Van Vechten,1936,Portrait of Willa Cather,,"Lincoln, NE",40.81541917,-96.7071095,Library of Congress; Van Vechten Estate,,,image/jpeg,,Public Domain,"This work is from the Carl Van Vechten Photographs collection at the Library of Congress. According to the library, there are no known copyright restrictions on the use of this work.","Willa Cather is perhaps one of the most famous writers of the Great Plains. Her famous ""Prairie Trilogy"" including O Pioneers, The Song of the Lark, and My Ántonia all detail the lives of women in the Great Plains during the late 19th century. Cather, herself, was born in New York; however she and her family moved to Nebraska when she was 9 years old. Cather eventually moved to Lincoln, Nebraska to attend the University of Nebraska-Lincoln."
coll004,https://tile.loc.gov/storage-services/service/pnp/cph/3a50000/3a52000/3a52200/3a52278r.jpg,,,Theodore Dreiser,Carl Van Vechten,1933,Portrait of Theodore Dreiser,,"Terre Haute, IN",39.479722,-87.375,Library of Congress; Van Vechten Estate,,,image/jpeg,,Public Domain,"This work is from the Carl Van Vechten Photographs collection at the Library of Congress. According to the library, there are no known copyright restrictions on the use of this work.","American journalist and novelist, Theodore Dreiser, was born and raised in Terre Haute, Indiana. He attended Indiana University Bloomington. Many of his works take place around the Midwest, particularly in Chicago, such as Sister Carrie, Jennie Gerhardt, and The ""Genius."""
coll005,https://upload.wikimedia.org/wikipedia/commons/1/1d/Toni_Morrison_%28The_Bluest_Eye_author_portrait%29.jpg,,,Toni Morrison,Bert Andrews,1970,Portrait of Toni Morrison from back cover of The Bluest Eye,,"Lorain, OH",41.44,-82.168889,Wikipedia,,,image/jpeg,,Public Domain,Image taken from bookjacket prior to 1973 with no Copyright notice,"Toni Morrison was born in Lorain, Ohio, just outside of Cleveland. Both of her parents moved to the Midwest to escape the racism of the South. Several of Morrison's books are set in Ohio and the Midwest including The Bluest Eye, Sula, and Song of Solomon."
coll006,https://upload.wikimedia.org/wikipedia/commons/8/83/Edna-Ferber-1928.jpg,,,Edna Ferber,Nickolas Muray,1928,Portrait of Edna Ferber in Theatre Magazine,,"Kalamazoo, MI",42.29,-85.585833,Wikipedia,,,image/jpeg,,Public Domain,Image published before 1930,"Edna Ferber was an American novelist, short story writer and playwright. She was born in Kalamazoo, Michigan, but moved often as a child, living in Chicago, Illinois, Ottumwa, Iowa, and Appleton Wisconsin before she came of age. Many of her novels were eventually adapted as movies and musicals such as the famous musical, Showboat."
coll007,https://upload.wikimedia.org/wikipedia/commons/7/7a/Mark_Twain_by_AF_Bradley_%28cropped_2%29.jpg,,,Mark Twain,A. F. Bradley,1907,Portrait of Mark Twain,,"Florida, MO",39.493056,-91.790556,Wikipedia,,,image/jpeg,,Public Domain,Image published before 1930,"In American literature, few figures loom larger than Samuel Clemens, or Mark Twain. A Missouri native, his two most famous books, Tom Sawyer and Huckleberry Finn are set around the Mississippi River. Twain worked as a riverboat pilot on the Mississippi which also provided him with inspiration for his memoir, Life on the Mississippi."
coll008,https://upload.wikimedia.org/wikipedia/commons/a/a9/Sandra_Cisneros_by_Gage_Skidmore.jpg,,,Sandra Cisneros,Gage Skidmore,2017,"Cisneros speaking at an event in Phoenix, Arizona",,"Chicago, IL",41.88,-87.7,Wikipedia,,,image/jpeg,,CC BY-SA 3.0,Photo taken by Gage Skidmore and published under CC BY-SA 3.0,"Sandra Cisneros was born in Chicago, Illinois and lived in Humboldt Park for most of her childhood. The neighborhood would later become the inspiration for her book, The House on Mango Street. She went to Loyola University in Chicago for her undergraduate degree and the University of Iowa for her MFA."
coll009,https://upload.wikimedia.org/wikipedia/commons/3/37/Laura_Ingalls_Wilder_cropped_sepia2.jpg,,,Laura Ingalls Wilder,,1885,Portrait of Laura Ingalls Wilder,,"Pepin Co., WI",44.6,-92,Wikipedia,,,image/jpeg,,Public Domain,Image published before 1930,"When thinking about the frontier, Little House on the Prairie, is often the first thing that comes to mind for people. Laura Ingalls Wilder was born in Wisconsin, but moved around frequently with her family, living in Kansas, Minnesota, Missouri, and South Dakota."
coll010,https://upload.wikimedia.org/wikipedia/commons/6/6c/Lewis-Sinclair-LOC.jpg,,,Sinclair Lewis,Arnold Genthe,1914,Portait of Sinclair Lewis,,"Sauk Centre, MN",45.735833,-94.952222,Library of Congress Prints and Photographs Division,,,image/jpeg,,Public Domain,Image published before 1930,"Sinclair Lewis was an American novelist and playwright. He wrote many books that were critical of capitalism and consumerism, the most popular being Main Street, Babbitt, Arrowsmith, Elmer Gantry, Dodsworth, and It Can't Happen Here. He was born in Sauk Center, Minnesota."
coll011,https://upload.wikimedia.org/wikipedia/commons/6/69/Ray_Bradbury_%281975%29_-cropped-.jpg,,,Ray Bradbury,Alan Light,1975,Photograph of Ray Bradbury in 1975,,"Waukegan, IL",42.370278,-87.871111,Wikipedia,,,image/jpeg,,CC BY 2.0,Photo taken by Alan Light and published under CC BY 2.0,"Ray Bradbury, one of the most famous Science Fiction writers of all time, though he wrote in many other genres such as Fantasy, Horror, and Mystery. Bradbury was born in Waukegan, Illinois. He based the fictional town, Green Town, off of his hometown. He his best known for his novel, Fahrenheit 451."
coll012,https://upload.wikimedia.org/wikipedia/commons/8/89/Kurt_Vonnegut_by_Bernard_Gotfryd_%281965%29.jpg,,,Kurt Vonnegut,Bernard Gotfryd,1965,Photograph of Kurt Vonnegut in 2965,,"Indianapolis, IN",39.768611,-86.158056,Library of Congress; Bernard Gotfryd,,,image/jpeg,,Public Domain,"This work is from the Bernard Gotfryd Photographs collection at the Library of Congress. According to the library, there are no known copyright restrictions on the use of this work.",
coll013,https://upload.wikimedia.org/wikipedia/commons/4/4e/Carl_Sandburg_NYWTS.jpg,,,Carl Sandburg,Al Ravenna,1955,New York World-Telegram and the Sun Newspaper photograph of Carl Sandburg,,"Galesburg, IL",40.952222,-90.352778,Library of Congress; Al Ravenna,,,image/jpeg,,Public Domain,"This work is from the NYWT&S staff photographs collection at the Library of Congress. According to the library, there are no known copyright restrictions on the use of this work.",
coll015,https://upload.wikimedia.org/wikipedia/commons/c/c0/Let%27s_Talk_about_Money_-_Vlogbrothers_YouTube_at_0009_%28cropped%29.png,,,John Green,Vlogbrothers,2024,Still from Vlogbrothers YouTube video,,"Indianapolis, IN",39.768611,-86.158056,YouTube,,,image/jpeg,,CC BY 3.0,Released on YouTube under CC BY 3.0,
coll016,https://upload.wikimedia.org/wikipedia/commons/0/0a/Gwendolyn_Brooks_ACME_1950.jpg,,,Gwendolyn Brooks,ACME Newspictures,1950,Photo of Gwendolyn Brooks distributed by ACME after she won the 1950 Pulitzer Prize for Poetry,,"Chicago, IL",41.765556,-87.627778,Library of Congress; ACME,,,image/jpeg,,Public Domain,"This work is from the ACME photographs collection at the Library of Congress. According to the library, there are no known copyright restrictions on the use of this work.",
